"spol" "starost" "krovna_kat" "st_znakov_rec"
"724" "ženski" "10 do 13 let" "Telesno zdravje" "> 250 in <750 znakov"
"726" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"732" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"733" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"736" "moški" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"737" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"739" "moški" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"743" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"749" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"752" "ženski" "10 do 13 let" "Telesno zdravje" "> 250 in <750 znakov"
"753" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"756" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"759" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"761" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"762" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"767" "ženski" "14 do 17 let" "Spolno zdravje" ">750 znakov"
"769" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"771" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"773" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"778" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"782" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"783" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"785" "ženski" "10 do 13 let" "Duševno zdravje" "> 250 in <750 znakov"
"788" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"789" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"790" "ženski" "18 do 21 let" "Duševno zdravje" "> 250 in <750 znakov"
"791" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"792" "ženski" "18 do 21 let" "Telesno zdravje" ">750 znakov"
"796" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"797" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"799" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"805" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"808" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"809" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"810" "moški" "10 do 13 let" "Spolno zdravje" "<250 znakov"
"812" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"816" "moški" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"819" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"820" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"822" "moški" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"823" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"824" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"825" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"829" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"831" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"832" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"835" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"837" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"838" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"841" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"845" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"846" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"850" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"851" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"857" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"859" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"868" "ženski" "10 do 13 let" "Odnosi" "<250 znakov"
"877" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"878" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"881" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"887" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"890" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"893" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"902" "ženski" "10 do 13 let" "Duševno zdravje" "> 250 in <750 znakov"
"905" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"906" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"909" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"910" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"913" "moški" "18 do 21 let" "Telesno zdravje" ">750 znakov"
"916" "ženski" "18 do 21 let" "Odnosi" "> 250 in <750 znakov"
"918" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"919" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"923" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"924" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"925" "moški" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"927" "moški" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"929" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"933" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"936" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"937" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"938" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"941" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"944" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"946" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"949" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"953" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"956" "ženski" "10 do 13 let" "Duševno zdravje" "> 250 in <750 znakov"
"957" "moški" "14 do 17 let" "Odnosi" ">750 znakov"
"958" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"961" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"964" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"965" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"966" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"967" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"971" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"979" "moški" "14 do 17 let" "Odnosi" ">750 znakov"
"983" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"984" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"990" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"992" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"993" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"994" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"996" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"997" "moški" "18 do 21 let" "Spolnost" "<250 znakov"
"1002" "moški" "18 do 21 let" "Spolnost" "<250 znakov"
"1004" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1006" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"1008" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1009" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1010" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1015" "ženski" "18 do 21 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1016" "ženski" "14 do 17 let" "Spolnost" ">750 znakov"
"1018" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1020" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1021" "moški" "14 do 17 let" "Duševno zdravje" "<250 znakov"
"1025" "ženski" "18 do 21 let" "Droge, zasvojenost" "> 250 in <750 znakov"
"1027" "ženski" "10 do 13 let" "Duševno zdravje" "> 250 in <750 znakov"
"1031" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1033" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1034" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1035" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1038" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1040" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1041" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1048" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1049" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1051" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1053" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"1054" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"1055" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"1056" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1062" "moški" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1065" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1067" "moški" "14 do 17 let" "Odnosi" ">750 znakov"
"1068" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1069" "moški" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"1070" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"1073" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1074" "moški" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1075" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1076" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1078" "moški" "10 do 13 let" "Duševno zdravje" "<250 znakov"
"1079" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1081" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1083" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1084" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"1085" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1086" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1089" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"1092" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1094" "moški" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1095" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1096" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"1098" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1101" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"1102" "moški" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"1103" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1105" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"1111" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1112" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"1115" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1116" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1118" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1119" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1124" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1125" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1126" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1127" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1128" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1129" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1130" "moški" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1131" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"1132" "ženski" "18 do 21 let" "Spolno zdravje" ">750 znakov"
"1133" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1135" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1137" "ženski" "18 do 21 let" "Problemi, povezani s šolo" ">750 znakov"
"1139" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"1150" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"1154" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1160" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1163" "moški" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"1165" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"1166" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1169" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1171" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1172" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1175" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1176" "moški" "14 do 17 let" "Odnosi" "<250 znakov"
"1178" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1180" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1183" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1188" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1189" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1190" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1191" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1194" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"1195" "moški" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1198" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"1199" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1201" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1204" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1209" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"1210" "moški" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1211" "moški" "14 do 17 let" "Odnosi" ">750 znakov"
"1217" "ženski" "18 do 21 let" "Telesno zdravje" ">750 znakov"
"1218" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"1222" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1224" "ženski" "18 do 21 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1225" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1232" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"1236" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1237" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1239" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1242" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1243" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1244" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"1247" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1249" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"1250" "moški" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1251" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1252" "moški" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1253" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"1256" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1260" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1264" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1265" "ženski" "14 do 17 let" "Spolnost" ">750 znakov"
"1266" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"1268" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"1270" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1272" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1273" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"1274" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1275" "ženski" "18 do 21 let" "Spolno zdravje" "<250 znakov"
"1278" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1279" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1282" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"1283" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"1284" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "<250 znakov"
"1286" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1292" "moški" "14 do 17 let" "Odnosi" "<250 znakov"
"1293" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1296" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"1299" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1304" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"1305" "ženski" "18 do 21 let" "Spolnost" "> 250 in <750 znakov"
"1306" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"1308" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"1310" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1312" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1313" "ženski" "18 do 21 let" "Problemi, povezani s šolo" ">750 znakov"
"1318" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"1320" "ženski" "18 do 21 let" "Telesno zdravje" ">750 znakov"
"1321" "moški" "18 do 21 let" "Odnosi" "> 250 in <750 znakov"
"1323" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1326" "ženski" "10 do 13 let" "Droge, zasvojenost" "<250 znakov"
"1327" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"1328" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1329" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1331" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1332" "ženski" "18 do 21 let" "Telesno zdravje" "<250 znakov"
"1334" "moški" "14 do 17 let" "Odnosi" ">750 znakov"
"1336" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1337" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1338" "ženski" "10 do 13 let" "Spolno zdravje" "> 250 in <750 znakov"
"1339" "moški" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"1344" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"1345" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1347" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1359" "ženski" "10 do 13 let" "Spolnost" "<250 znakov"
"1360" "moški" "10 do 13 let" "Odnosi" "<250 znakov"
"1361" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"1364" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1365" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1366" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1370" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1377" "moški" "10 do 13 let" "Duševno zdravje" "> 250 in <750 znakov"
"1379" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"1382" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1386" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"1388" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1389" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1391" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1394" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1396" "ženski" "10 do 13 let" "Telesno zdravje" "<250 znakov"
"1397" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1398" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1399" "moški" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"1400" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1401" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1402" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1405" "ženski" "10 do 13 let" "Spolnost" "<250 znakov"
"1410" "ženski" "10 do 13 let" "Telesno zdravje" "> 250 in <750 znakov"
"1411" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1414" "moški" "14 do 17 let" "Droge, zasvojenost" "<250 znakov"
"1415" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"1416" "ženski" "10 do 13 let" "Spolnost" "<250 znakov"
"1417" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1419" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1421" "ženski" "18 do 21 let" "Telesno zdravje" ">750 znakov"
"1423" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1426" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"1427" "ženski" "10 do 13 let" "Telesno zdravje" "<250 znakov"
"1429" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1431" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"1433" "ženski" "14 do 17 let" "Spolnost" ">750 znakov"
"1439" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1440" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1451" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1457" "moški" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1458" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1459" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1465" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1466" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"1467" "ženski" "18 do 21 let" "Duševno zdravje" "> 250 in <750 znakov"
"1468" "ženski" "18 do 21 let" "Spolnost" "> 250 in <750 znakov"
"1471" "ženski" "18 do 21 let" "Telesno zdravje" "<250 znakov"
"1474" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1475" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1476" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"1480" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1482" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1483" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1485" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1487" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1491" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1492" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1493" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"1495" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1496" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1498" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1499" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1500" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1503" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"1504" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1505" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1506" "ženski" "10 do 13 let" "Telesno zdravje" "> 250 in <750 znakov"
